p,p2,Beta,cl,ch
1,960-1279,-.012881,-.077063203,.0513012
2,1371-1450,-.0139785,-.0303089,.002352
3,1451-1500,-.0311087,-.042396199,-.0198211
4,1501-1550,-.032560699,-.043088999,-.022032401
5,1551-1600,-.0268886,-.0360751,-.017702101
6,1601-1650,-.0127564,-.0178569,-.0076557999
7,1651-1700,-.019022601,-.0365314,-.0015138
8,1701-1750,-.0121739,-.0176863,-.0066614999
9,1751-1800,-.0093916999,-.0144643,-.0043191002
10,1801-1850,-.0044932002,-.0081423,-.00084410002
11,1851-1904,-.0055630002,-.0109275,-.0001985
